epoch,step,progress,cls_loss,domain_loss,disc_acc,alpha,feat_norm,loss
11,2180,0.3578,0.010203,0.580278,0.854167,0.945655,78.913231,0.590482
11,2190,0.35944,0.000731,0.598935,0.75,0.946516,86.527023,0.599666
11,2200,0.36108,0.00181,0.545159,0.833333,0.947364,84.990746,0.546968
11,2210,0.36273,0.024474,0.682571,0.625,0.948199,66.824532,0.707045
11,2220,0.36437,0.012355,0.815183,0.291667,0.949021,68.085815,0.827538
11,2230,0.36601,0.018144,0.749873,0.395833,0.949831,81.529579,0.768017
12,2240,0.36765,0.024401,0.676053,0.645833,0.950628,72.989777,0.700454
12,2250,0.36929,1e-05,0.718499,0.5,0.951412,86.743576,0.718509
12,2260,0.37094,0.078163,0.685222,0.5625,0.952185,78.861259,0.763385
12,2270,0.37258,0.005814,0.678781,0.5625,0.952945,83.916611,0.684594
12,2280,0.37422,0.036145,0.761441,0.354167,0.953694,78.531433,0.797586
12,2290,0.37586,0.07274,0.792078,0.25,0.954431,85.496788,0.864819
12,2300,0.3775,0.031106,0.74265,0.3125,0.955156,77.519791,0.773756
12,2310,0.37915,0.101789,0.699837,0.395833,0.95587,97.372604,0.801625
12,2320,0.38079,0.041651,0.664739,0.5625,0.956574,89.381195,0.706391
12,2330,0.38243,0.014499,0.661424,0.604167,0.957266,122.814476,0.675923
12,2340,0.38407,0.314564,0.666931,0.583333,0.957947,59.28701,0.981495
12,2350,0.38571,0.011999,0.681294,0.541667,0.958618,60.783493,0.693292
12,2360,0.38736,0.092364,0.692262,0.520833,0.959278,64.496399,0.784626
12,2370,0.389,0.010739,0.706024,0.520833,0.959928,68.859238,0.716763
12,2380,0.39064,0.077661,0.719216,0.583333,0.960568,75.076134,0.796877
12,2390,0.39228,0.016169,0.930819,0.208333,0.961197,95.834106,0.946988
12,2400,0.39392,0.048672,0.825911,0.270833,0.961817,64.582016,0.874583
12,2410,0.39557,0.073532,0.738005,0.354167,0.962427,90.08107,0.811537
12,2420,0.39721,0.002364,0.690304,0.583333,0.963028,78.175224,0.692668
12,2430,0.39885,0.011211,0.641261,0.729167,0.963619,87.785057,0.652472
13,2440,0.40049,0.085908,0.635995,0.729167,0.964201,83.847771,0.721903
13,2450,0.40213,0.034444,0.704883,0.4375,0.964774,77.079788,0.739327
13,2460,0.40378,0.024657,0.739946,0.3125,0.965338,122.206345,0.764603
13,2470,0.40542,0.003168,0.696811,0.541667,0.965893,125.328217,0.699979
13,2480,0.40706,0.000927,0.668705,0.75,0.966439,114.002808,0.669631
13,2490,0.4087,0.173601,0.64818,0.729167,0.966976,107.941147,0.821781
13,2500,0.41034,0.036684,0.60651,0.854167,0.967505,159.637802,0.643194
13,2510,0.41199,0.218588,0.700043,0.458333,0.968026,168.894867,0.918631
13,2520,0.41363,0.002597,0.737216,0.354167,0.968539,182.647888,0.739814
