epoch,step,progress,cls_loss,sam_loss,sam_gap,grad_norm,loss
12,2400,0.39392,0.002996,0.027605,0.024609,0.142537,0.002996
12,2410,0.39557,0.009002,0.102749,0.093747,0.8024,0.009002
12,2420,0.39721,0.012617,0.125027,0.11241,0.840579,0.012617
12,2430,0.39885,0.026957,0.095258,0.068301,0.843011,0.026957
13,2440,0.40049,0.014564,0.061866,0.047302,0.554777,0.014564
13,2450,0.40213,0.033664,0.113377,0.079713,1.031481,0.033664
13,2460,0.40378,0.083203,0.146854,0.063651,1.428757,0.083203
13,2470,0.40542,0.002821,0.0249,0.02208,0.149655,0.002821
13,2480,0.40706,0.00386,0.050343,0.046484,0.237574,0.00386
13,2490,0.4087,0.013611,0.138527,0.124916,1.209944,0.013611
13,2500,0.41034,0.016417,0.152093,0.135676,0.775662,0.016417
13,2510,0.41199,0.04728,0.135343,0.088063,1.388608,0.04728
13,2520,0.41363,0.02406,0.129714,0.105654,0.952193,0.02406
13,2530,0.41527,0.009563,0.035929,0.026366,0.345412,0.009563
13,2540,0.41691,0.002672,0.044258,0.041586,0.135527,0.002672
13,2550,0.41856,0.012544,0.055545,0.043002,0.511585,0.012544
13,2560,0.4202,0.007297,0.059528,0.052231,0.354452,0.007297
13,2570,0.42184,0.067384,0.219092,0.151707,1.859336,0.067384
13,2580,0.42348,0.000645,0.018346,0.017701,0.049685,0.000645
13,2590,0.42512,9e-05,0.002951,0.00286,0.005676,9e-05
13,2600,0.42677,0.008377,0.231764,0.223387,1.033319,0.008377
13,2610,0.42841,0.00929,0.093967,0.084677,0.505123,0.00929
13,2620,0.43005,0.011683,0.095945,0.084261,0.772647,0.011683
13,2630,0.43169,0.119346,0.276428,0.157082,2.081317,0.119346
